Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
HOT 토피넛,1,2500,2025-07-31 18:06:16,2025,7,31,18:06,D
HOT 녹차라떼,2,5000,2025-07-31 18:06:16,2025,7,31,18:06,D
ICE 레몬티,1,2000,2025-07-31 09:41:31,2025,7,31,09:41,D
ICE 패션후르츠,1,2000,2025-07-31 09:34:15,2025,7,31,09:34,D
ICE 청귤티,1,2000,2025-07-31 09:34:15,2025,7,31,09:34,D
ICE 청포도주스,2,4000,2025-07-31 09:29:23,2025,7,31,09:29,D
아이스티+샷추가,1,2500,2025-07-31 08:12:00,2025,7,31,08:12,D
ICE 아메리카노,2,3000,2025-07-31 07:56:45,2025,7,31,07:56,D
ICE 얼그레이레몬 하이볼,1,2000,2025-07-31 07:12:09,2025,7,31,07:12,D
아이스티+샷추가,1,2500,2025-07-30 19:11:34,2025,7,30,19:11,D
ICE 토피넛,1,2500,2025-07-30 17:17:25,2025,7,30,17:17,D
ICE 레몬티,1,2000,2025-07-30 17:06:01,2025,7,30,17:06,D
ICE 카페라떼,1,2000,2025-07-30 16:47:42,2025,7,30,16:47,D
ICE 바닐라라떼,1,2700,2025-07-30 14:03:09,2025,7,30,14:03,D
ICE 아메리카노,1,1500,2025-07-30 11:52:41,2025,7,30,11:52,D
아이스티+샷추가,1,2500,2025-07-30 11:51:05,2025,7,30,11:51,D
ICE 토피넛,1,2500,2025-07-30 10:54:56,2025,7,30,10:54,D
ICE 복숭아티,1,2000,2025-07-30 08:48:44,2025,7,30,08:48,D
HOT 녹차라떼,1,2500,2025-07-30 08:44:36,2025,7,30,08:44,D
아이스티+샷추가,1,2500,2025-07-30 08:28:26,2025,7,30,08:28,D
ICE 아메리카노,2,3000,2025-07-30 07:36:18,2025,7,30,07:36,D
아이스티+샷추가,1,2500,2025-07-30 07:03:26,2025,7,30,07:03,D
아이스티+샷추가,1,2500,2025-07-30 06:53:02,2025,7,30,06:53,D
아이스티+샷추가,1,2500,2025-07-30 06:46:57,2025,7,30,06:46,D
아이스티+샷추가,1,2500,2025-07-30 06:45:26,2025,7,30,06:45,D
ICE 아메리카노,1,1500,2025-07-30 06:13:48,2025,7,30,06:13,D
아이스티+샷추가,1,2500,2025-07-30 06:06:46,2025,7,30,06:06,D
ICE 패션후르츠,1,2000,2025-07-29 21:58:01,2025,7,29,21:58,D
ICE 패션후르츠,1,2000,2025-07-29 21:30:33,2025,7,29,21:30,D
ICE 청귤티,1,2000,2025-07-29 19:14:16,2025,7,29,19:14,D
ICE 아메리카노,1,1500,2025-07-29 13:55:53,2025,7,29,13:55,D
HOT 녹차라떼,1,2500,2025-07-29 13:48:55,2025,7,29,13:48,D
ICE 바닐라라떼,1,2700,2025-07-29 12:46:25,2025,7,29,12:46,D
아이스티+샷추가,1,2500,2025-07-29 11:55:45,2025,7,29,11:55,D
아이스티+샷추가,1,2500,2025-07-29 08:53:19,2025,7,29,08:53,D
ICE 아메리카노,1,1500,2025-07-29 08:51:37,2025,7,29,08:51,D
ICE 초코라떼,1,2700,2025-07-29 08:49:51,2025,7,29,08:49,D
ICE 아메리카노,1,1500,2025-07-29 07:09:53,2025,7,29,07:09,D
ICE 카페라떼,1,2000,2025-07-29 06:56:43,2025,7,29,06:56,D
ICE 아메리카노,1,1500,2025-07-29 06:54:34,2025,7,29,06:54,D
ICE 아메리카노,1,1500,2025-07-29 06:52:58,2025,7,29,06:52,D
ICE 아메리카노,1,1500,2025-07-29 06:51:26,2025,7,29,06:51,D
ICE 아메리카노,1,1500,2025-07-29 06:49:54,2025,7,29,06:49,D
ICE 아메리카노,1,1500,2025-07-29 06:48:08,2025,7,29,06:48,D
아이스티+샷추가,1,2500,2025-07-29 06:00:40,2025,7,29,06:00,D
ICE 아메리카노,1,1500,2025-07-29 05:47:36,2025,7,29,05:47,D
ICE 복숭아티,1,2000,2025-07-29 05:45:08,2025,7,29,05:45,D
아이스티+샷추가,1,2500,2025-07-28 19:16:43,2025,7,28,19:16,D
ICE 아메리카노,1,1500,2025-07-28 18:00:19,2025,7,28,18:00,D
아이스티+샷추가,1,2500,2025-07-28 16:54:33,2025,7,28,16:54,D
ICE 복숭아티,1,2000,2025-07-28 13:54:48,2025,7,28,13:54,D
ICE 아메리카노,1,1500,2025-07-28 13:52:18,2025,7,28,13:52,D
ICE 아메리카노,1,1500,2025-07-28 13:50:44,2025,7,28,13:50,D
아이스티+샷추가,1,2500,2025-07-28 13:44:20,2025,7,28,13:44,D
HOT 초코라떼,1,2500,2025-07-28 13:42:38,2025,7,28,13:42,D
아이스티+샷추가,1,2500,2025-07-28 11:51:01,2025,7,28,11:51,D
ICE 아메리카노,1,1500,2025-07-28 11:47:52,2025,7,28,11:47,D
아이스티+샷추가,1,2500,2025-07-28 11:45:44,2025,7,28,11:45,D
ICE 복숭아티,1,2000,2025-07-28 11:44:26,2025,7,28,11:44,D
ICE 초코라떼,1,2700,2025-07-28 11:11:12,2025,7,28,11:11,D
ICE 아메리카노,1,1500,2025-07-28 10:59:51,2025,7,28,10:59,D
아이스티+샷추가,1,0,2025-07-28 09:36:38,2025,7,28,09:36,D
HOT 녹차라떼,1,2500,2025-07-28 08:51:53,2025,7,28,08:51,D
ICE 청포도주스,1,2000,2025-07-28 08:10:24,2025,7,28,08:10,D
ICE 청포도주스,1,2000,2025-07-28 08:08:57,2025,7,28,08:08,D
ICE 초코라떼,1,2700,2025-07-28 08:03:49,2025,7,28,08:03,D
HOT 카페라떼,1,2000,2025-07-28 06:53:18,2025,7,28,06:53,D
ICE 아메리카노,1,1500,2025-07-28 06:44:54,2025,7,28,06:44,D
아이스티+샷추가,1,2500,2025-07-28 06:11:58,2025,7,28,06:11,D
ICE 카페라떼,1,2000,2025-07-28 06:05:38,2025,7,28,06:05,D
ICE 아메리카노,1,1500,2025-07-28 05:34:18,2025,7,28,05:34,D
ICE 녹차라떼,1,2500,2025-07-27 16:24:34,2025,7,27,16:24,D
ICE 레몬티,1,2000,2025-07-27 13:51:31,2025,7,27,13:51,D
ICE 아메리카노,1,1500,2025-07-27 11:34:59,2025,7,27,11:34,D
ICE 아메리카노,1,1500,2025-07-27 11:33:30,2025,7,27,11:33,D
