Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
아이스티+샷추가,1,2500,2025-05-31 19:18:41,2025,5,31,19:18,C
아이스티+샷추가,1,2500,2025-05-31 19:16:50,2025,5,31,19:16,C
ICE 청포도주스,1,2000,2025-05-31 19:04:28,2025,5,31,19:04,C
ICE 청포도주스,1,2000,2025-05-31 19:01:43,2025,5,31,19:01,C
ICE 얼그레이레몬 하이볼,1,2000,2025-05-31 17:17:49,2025,5,31,17:17,C
ICE 복숭아티,1,2000,2025-05-31 17:08:10,2025,5,31,17:08,C
ICE 복숭아티,1,2000,2025-05-31 17:05:05,2025,5,31,17:05,C
ICE 초코라떼,1,2500,2025-05-31 16:52:24,2025,5,31,16:52,C
HOT 초코라떼,1,2500,2025-05-31 16:45:06,2025,5,31,16:45,C
ICE 레몬티,1,2000,2025-05-31 16:33:55,2025,5,31,16:33,C
ICE 패션후르츠,1,2000,2025-05-31 16:26:19,2025,5,31,16:26,C
ICE 패션후르츠,1,0,2025-05-31 16:19:36,2025,5,31,16:19,C
ICE 패션후르츠,1,2000,2025-05-31 16:08:12,2025,5,31,16:08,C
아이스티+샷추가,1,2500,2025-05-31 13:56:06,2025,5,31,13:56,C
ICE 아메리카노,1,1500,2025-05-31 13:54:33,2025,5,31,13:54,C
ICE 복숭아티,1,2000,2025-05-31 12:03:54,2025,5,31,12:03,C
ICE 카페라떼,1,2000,2025-05-31 11:57:23,2025,5,31,11:57,C
ICE 청귤티,1,2000,2025-05-31 11:55:37,2025,5,31,11:55,C
ICE 패션후르츠,1,2000,2025-05-31 11:47:22,2025,5,31,11:47,C
ICE 초코라떼,1,2500,2025-05-31 11:04:51,2025,5,31,11:04,C
ICE 초코라떼,1,2500,2025-05-31 11:00:56,2025,5,31,11:00,C
ICE 아메리카노,1,1500,2025-05-31 10:59:27,2025,5,31,10:59,C
ICE 바닐라라떼,1,2700,2025-05-31 08:57:02,2025,5,31,08:57,C
아이스티+샷추가,1,2500,2025-05-31 08:53:25,2025,5,31,08:53,C
아이스티+샷추가,1,2500,2025-05-31 06:50:21,2025,5,31,06:50,C
ICE 복숭아티,1,2000,2025-05-31 06:18:53,2025,5,31,06:18,C
ICE 아메리카노,1,1500,2025-05-31 06:17:21,2025,5,31,06:17,C
ICE 아메리카노,1,1500,2025-05-31 06:15:44,2025,5,31,06:15,C
ICE 아메리카노,1,1500,2025-05-31 06:13:31,2025,5,31,06:13,C
ICE 아메리카노,1,1500,2025-05-31 05:58:28,2025,5,31,05:58,C
아이스티+샷추가,1,2500,2025-05-31 05:53:50,2025,5,31,05:53,C
아이스티+샷추가,1,2500,2025-05-31 05:48:18,2025,5,31,05:48,C
HOT 초코라떼,1,2500,2025-05-30 16:50:39,2025,5,30,16:50,C
ICE 아메리카노,1,1500,2025-05-30 12:56:34,2025,5,30,12:56,C
