Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
ICE 패션후르츠,1,2000,2025-07-31 21:30:38,2025,7,31,21:30,C
HOT 초코라떼,1,2500,2025-07-31 08:07:35,2025,7,31,08:07,C
ICE 녹차라떼,1,2300,2025-07-31 06:11:09,2025,7,31,06:11,C
ICE 얼그레이레몬 하이볼,3,6000,2025-07-31 00:46:04,2025,7,31,00:46,C
ICE 청귤티,1,2000,2025-07-30 19:17:33,2025,7,30,19:17,C
ICE 메론 주스,2,4000,2025-07-30 19:09:40,2025,7,30,19:09,C
ICE 초코라떼,1,2500,2025-07-30 19:05:05,2025,7,30,19:05,C
ICE 얼그레이레몬 하이볼,1,2000,2025-07-30 16:57:34,2025,7,30,16:57,C
ICE 패션후르츠,1,2000,2025-07-30 13:53:58,2025,7,30,13:53,C
HOT 청귤티,1,2000,2025-07-30 13:48:11,2025,7,30,13:48,C
ICE 토피넛,1,2500,2025-07-30 11:33:53,2025,7,30,11:33,C
ICE 청포도주스,1,2000,2025-07-30 08:48:27,2025,7,30,08:48,C
ICE 녹차라떼,1,2300,2025-07-30 08:44:25,2025,7,30,08:44,C
ICE 메론 주스,1,2000,2025-07-30 06:12:22,2025,7,30,06:12,C
ICE 녹차라떼,1,2300,2025-07-30 05:54:25,2025,7,30,05:54,C
ICE 녹차라떼,1,2300,2025-07-30 05:40:28,2025,7,30,05:40,C
ICE 청포도주스,1,2000,2025-07-29 19:19:50,2025,7,29,19:19,C
ICE 녹차라떼,1,2300,2025-07-29 19:13:52,2025,7,29,19:13,C
ICE 청포도주스,1,2000,2025-07-29 18:09:05,2025,7,29,18:09,C
ICE 얼그레이레몬 하이볼,1,2000,2025-07-29 18:09:05,2025,7,29,18:09,C
ICE 메론 주스,1,2000,2025-07-29 17:05:05,2025,7,29,17:05,C
ICE 레몬티,1,2000,2025-07-29 16:59:07,2025,7,29,16:59,C
HOT 토피넛,1,2500,2025-07-29 16:31:02,2025,7,29,16:31,C
ICE 패션후르츠,1,2000,2025-07-29 16:28:36,2025,7,29,16:28,C
ICE 청포도주스,1,2000,2025-07-29 13:55:12,2025,7,29,13:55,C
ICE 녹차라떼,1,2300,2025-07-29 13:53:21,2025,7,29,13:53,C
ICE 초코라떼,1,2500,2025-07-29 13:50:18,2025,7,29,13:50,C
ICE 초코라떼,1,2500,2025-07-29 11:53:28,2025,7,29,11:53,C
ICE 토피넛,1,2500,2025-07-29 11:37:06,2025,7,29,11:37,C
ICE 초코라떼,1,2500,2025-07-29 10:56:02,2025,7,29,10:56,C
ICE 패션후르츠,1,2000,2025-07-29 08:49:11,2025,7,29,08:49,C
ICE 청포도주스,1,2000,2025-07-28 21:12:35,2025,7,28,21:12,C
ICE 얼그레이레몬 하이볼,1,2000,2025-07-28 19:17:59,2025,7,28,19:17,C
ICE 메론 주스,1,2000,2025-07-28 19:10:57,2025,7,28,19:10,C
HOT 토피넛,1,2500,2025-07-28 17:04:00,2025,7,28,17:04,C
ICE 얼그레이레몬 하이볼,1,2000,2025-07-28 16:50:30,2025,7,28,16:50,C
HOT 초코라떼,1,2500,2025-07-28 16:39:09,2025,7,28,16:39,C
HOT 초코라떼,1,2500,2025-07-28 16:16:38,2025,7,28,16:16,C
ICE 청귤티,1,2000,2025-07-28 13:57:51,2025,7,28,13:57,C
