Product Name,Quantity Ordered,Total Sales,Order Time,Year,Month,Day,Order HourMinute,Machine
아이스티+샷추가,1,2500,2025-05-31 19:14:29,2025,5,31,19:14,B
아이스티+샷추가,1,2500,2025-05-31 19:11:31,2025,5,31,19:11,B
아이스티+샷추가,1,2500,2025-05-31 19:07:48,2025,5,31,19:07,B
ICE 청포도주스,1,2000,2025-05-31 17:18:57,2025,5,31,17:18,B
ICE 청귤티,1,2000,2025-05-31 17:17:40,2025,5,31,17:17,B
ICE 패션후르츠,1,2000,2025-05-31 16:50:50,2025,5,31,16:50,B
HOT 초코라떼,1,2500,2025-05-31 16:47:42,2025,5,31,16:47,B
ICE 아메리카노,1,1500,2025-05-31 16:44:11,2025,5,31,16:44,B
ICE 아메리카노,1,1500,2025-05-31 16:09:23,2025,5,31,16:09,B
HOT 토피넛,1,2500,2025-05-31 16:02:06,2025,5,31,16:02,B
ICE 레몬티,1,2000,2025-05-31 13:58:23,2025,5,31,13:58,B
ICE 복숭아티,1,2000,2025-05-31 13:55:42,2025,5,31,13:55,B
아이스티+샷추가,1,2500,2025-05-31 13:53:47,2025,5,31,13:53,B
아이스티+샷추가,1,2500,2025-05-31 13:48:37,2025,5,31,13:48,B
ICE 복숭아티,1,2000,2025-05-31 13:47:23,2025,5,31,13:47,B
ICE 청포도주스,1,2000,2025-05-31 12:02:15,2025,5,31,12:02,B
ICE 카페라떼,1,2000,2025-05-31 11:57:20,2025,5,31,11:57,B
아이스티+샷추가,1,2500,2025-05-31 11:49:19,2025,5,31,11:49,B
ICE 청포도주스,1,2000,2025-05-31 11:45:55,2025,5,31,11:45,B
ICE 메론 주스,1,2000,2025-05-31 11:44:30,2025,5,31,11:44,B
아이스티+샷추가,1,2500,2025-05-31 11:40:29,2025,5,31,11:40,B
ICE 청귤티,1,2000,2025-05-31 11:38:54,2025,5,31,11:38,B
아이스티+샷추가,1,2500,2025-05-31 11:37:12,2025,5,31,11:37,B
ICE 복숭아티,1,2000,2025-05-31 11:36:05,2025,5,31,11:36,B
